action,context,order,states,top1,top3,top5,top10,mean_rank,mrr,draft_phase,order_bucket,dominant_role,acting_team_id,opponent_team_id
pick,order,8.0,65,0.16923076923076924,0.6153846153846154,0.7846153846153846,0.8923076923076924,5.553846153846154,0.40014630668476825,,,,,
pick,order,9.0,65,0.13846153846153847,0.36923076923076925,0.49230769230769234,0.676923076923077,10.384615384615385,0.3038962551098822,,,,,
pick,order,13.0,65,0.26153846153846155,0.46153846153846156,0.5846153846153846,0.7076923076923077,9.646153846153846,0.3941315460175452,,,,,
pick,order,14.0,65,0.13846153846153847,0.3230769230769231,0.4307692307692308,0.6,11.430769230769231,0.28904773380174614,,,,,
pick,order,15.0,65,0.18461538461538463,0.35384615384615387,0.47692307692307695,0.7076923076923077,12.76923076923077,0.33418146708533664,,,,,
pick,order,16.0,65,0.1076923076923077,0.23076923076923078,0.36923076923076925,0.6,15.323076923076924,0.23587380806437916,,,,,
pick,order,17.0,65,0.2153846153846154,0.4,0.4307692307692308,0.5076923076923077,17.753846153846155,0.33106314997921105,,,,,
pick,order,18.0,65,0.1076923076923077,0.27692307692307694,0.4307692307692308,0.676923076923077,13.076923076923077,0.2594654459049157,,,,,
pick,order,23.0,65,0.18461538461538463,0.38461538461538464,0.4307692307692308,0.6615384615384615,13.461538461538462,0.32146190940632924,,,,,
pick,order,24.0,65,0.12307692307692308,0.3076923076923077,0.4307692307692308,0.5846153846153846,15.261538461538462,0.26363413651182477,,,,,
pick,phase,,65,0.16923076923076924,0.6153846153846154,0.7846153846153846,0.8923076923076924,5.553846153846154,0.40014630668476825,1.0,,,,
pick,phase,,325,0.16615384615384615,0.3476923076923077,0.4707692307692308,0.6584615384615384,11.910769230769231,0.31142616201577783,2.0,,,,
pick,phase,,260,0.1576923076923077,0.3423076923076923,0.4307692307692308,0.6076923076923076,14.888461538461538,0.29390616045057016,3.0,,,,
pick,order_bucket,,130,0.15384615384615385,0.34615384615384615,0.4307692307692308,0.6230769230769231,14.361538461538462,0.292548022959077,,pick_late,,,
pick,order_bucket,,390,0.16923076923076924,0.34102564102564104,0.45384615384615384,0.6333333333333333,13.333333333333334,0.3072938584755223,,pick_mid,,,
pick,order_bucket,,130,0.15384615384615385,0.49230769230769234,0.6384615384615384,0.7846153846153846,7.969230769230769,0.3520212808973252,,pick_opening,,,
pick,role,,71,0.14084507042253522,0.30985915492957744,0.43661971830985913,0.5915492957746479,14.140845070422536,0.27828497171016364,,,pos1,,
pick,role,,176,0.10795454545454546,0.375,0.4772727272727273,0.7386363636363636,10.909090909090908,0.2829710099902513,,,pos2,,
pick,role,,115,0.12173913043478261,0.2782608695652174,0.3739130434782609,0.591304347826087,14.626086956521739,0.2547586199358469,,,pos3,,
pick,role,,164,0.2073170731707317,0.4329268292682927,0.573170731707317,0.6951219512195121,10.146341463414634,0.36641156013423437,,,pos4,,
pick,role,,124,0.23387096774193547,0.4112903225806452,0.5161290322580645,0.6129032258064516,14.78225806451613,0.3603931161487364,,,pos5,,
pick,team,,15,0.2,0.6,0.6,0.8,7.466666666666667,0.42236497761497754,,,,10020555.0,
pick,team,,5,0.0,0.4,0.4,0.8,10.4,0.1933333333333333,,,,10108713.0,
