state_id,match_id,order,draft_phase,action_type,acting_side,acting_team_id,opponent_team_id,real_hero_id,real_hero_name,left_real_score,left_rank,own_team_candidate_contested_rate_patch,opponent_team_candidate_contested_rate_patch,left_top_hero_id,left_top_hero_name,left_top_score,right_real_score,right_rank,candidate_own_role_fit_score,candidate_own_role_conflict_score,candidate_enemy_role_fit_score,candidate_enemy_role_conflict_score,candidate_core_prob,candidate_support_prob,candidate_flex_score,own_team_candidate_contested_rate_patch_right,opponent_team_candidate_contested_rate_patch_right,right_top_hero_id,right_top_hero_name,right_top_score,rank_delta,improved_to_top10,regressed_from_top10
8780302268_13,8780302268,13,2,pick,radiant,10108947.0,9572001.0,58,Enchantress,3.7152733460055534,5,0.3,0.6296296296296297,110,Phoenix,4.722223992320886,4.067029812070233,3,0.9686,0.031400000000000004,0.9686,0.031400000000000004,0.15,0.8500000000000001,0.55,0.3,0.6296296296296297,110,Phoenix,4.563467736634305,-2,False,False
8780302268_14,8780302268,14,2,pick,dire,9572001.0,10108947.0,98,Timbersaw,1.1601516997092225,61,0.037037037037037035,0.0,29,Tidehunter,4.454084265704579,0.5478104262904158,73,0.9448999999999999,0.055099999999999996,0.8327000000000001,0.1673,0.8999999999999999,0.1,0.18,0.037037037037037035,0.0,110,Phoenix,3.729038561894882,12,False,False
8780302268_15,8780302268,15,2,pick,dire,9572001.0,10108947.0,121,Grimstroke,3.4819883998532006,8,0.037037037037037035,0.4,110,Phoenix,4.175187569698134,3.0122032173554256,7,0.9075000000000001,0.09250000000000001,0.5906,0.40940000000000004,0.07,0.93,0.3199999999999999,0.037037037037037035,0.4,110,Phoenix,3.8631604327511084,-1,False,False
8780302268_16,8780302268,16,2,pick,radiant,10108947.0,9572001.0,47,Viper,3.426696746536261,11,0.7,0.07407407407407407,39,Queen of Pain,4.491633199565373,3.8001578257934634,4,0.5760000000000001,0.424,0.3678,0.6322,0.8999999999999999,0.1,0.65,0.7,0.07407407407407407,123,Hoodwink,4.477507849538934,-7,True,False
8780302268_17,8780302268,17,3,pick,radiant,10108947.0,9572001.0,88,Nyx Assassin,3.921826965631026,6,0.8,0.0,39,Queen of Pain,4.407136120587799,3.5681114131952354,4,0.495,0.5104,0.5496,0.4504,0.15,0.85,0.3,0.8,0.0,123,Hoodwink,4.388265121610745,-2,False,False
8780302268_18,8780302268,18,3,pick,dire,9572001.0,10108947.0,145,Kez,2.535521225710555,28,0.18518518518518517,0.2,63,Weaver,4.012488198114995,1.8460554822489583,33,0.11079999999999994,0.8892,0.048799999999999996,1.2145000000000001,0.98,0.02,0.0999999999999999,0.18518518518518517,0.2,52,Leshrac,3.6624101510606897,5,False,False
8780302268_23,8780302268,23,3,pick,dire,9572001.0,10108947.0,16,Sand King,3.410566486855061,7,0.07407407407407407,0.0,29,Tidehunter,3.7899281179941102,2.3396334398047096,13,0.16139999999999996,0.8638,0.48360000000000003,0.5411999999999999,0.8999999999999999,0.1,0.18,0.07407407407407407,0.0,52,Leshrac,3.9025294695172263,6,False,True
8780302268_24,8780302268,24,3,pick,radiant,10108947.0,9572001.0,106,Ember Spirit,3.5808603723189196,1,0.7,0.2222222222222222,106,Ember Spirit,3.5808603723189196,3.540148105944759,1,0.5196999999999999,0.5017,0.6855000000000001,0.395,0.95,0.05,0.15,0.7,0.2222222222222222,106,Ember Spirit,3.540148105944759,0,False,False
8780302268_8,8780302268,8,1,pick,dire,9572001.0,10108947.0,80,Lone Druid,0.9754437672881402,52,0.0,0.0,110,Phoenix,4.4747863613292855,0.1735240656411382,75,1.0,0.0,1.0,0.0,0.98,0.02,0.0999999999999999,0.0,0.0,110,Phoenix,4.0559358923237365,23,False,False
8780302268_9,8780302268,9,2,pick,radiant,10108947.0,9572001.0,73,Alchemist,4.212690878592978,2,0.6,0.25925925925925924,110,Phoenix,4.352860980642213,3.925233053882136,2,1.0,0.0,0.18639999999999995,0.8136,0.98,0.02,0.0999999999999999,0.6,0.25925925925925924,110,Phoenix,4.27867046195041,0,False,False
