state_id,match_id,order,draft_phase,action_type,acting_side,acting_team_id,opponent_team_id,real_hero_id,real_hero_name,left_real_score,left_rank,own_team_candidate_contested_rate_patch,opponent_team_candidate_contested_rate_patch,left_top_hero_id,left_top_hero_name,left_top_score,right_real_score,right_rank,candidate_own_role_fit_score,candidate_own_role_conflict_score,candidate_enemy_role_fit_score,candidate_enemy_role_conflict_score,candidate_core_prob,candidate_support_prob,candidate_flex_score,own_team_candidate_contested_rate_patch_right,opponent_team_candidate_contested_rate_patch_right,right_top_hero_id,right_top_hero_name,right_top_score,rank_delta,improved_to_top10,regressed_from_top10
8785561247_18,8785561247,18,3,pick,dire,8255888.0,9467224.0,135,Dawnbreaker,4.424326581387424,3,0.2857142857142857,0.08,106,Ember Spirit,4.651360317076831,2.124989167735038,34,0.1082,1.1541999999999997,0.04869999999999999,1.1431999999999998,0.8999999999999999,0.1,0.18,0.2857142857142857,0.08,26,Lion,3.753469689855974,31,False,True
8780553618_18,8780553618,18,3,pick,dire,9303383.0,9600141.0,99,Bristleback,4.1359416694104025,5,1.0,0.7714285714285715,108,Underlord,4.751463879417458,2.0724805915125875,20,0.0925,0.9568,0.051000000000000004,1.1275,0.8999999999999999,0.1,0.18,1.0,0.7714285714285715,48,Luna,3.9749548437193223,15,False,True
8780393201_24,8780393201,24,3,pick,radiant,9928636.0,7554697.0,78,Brewmaster,3.7193941717970964,7,0.2,0.14285714285714285,106,Ember Spirit,4.851385015089191,2.1326591196748956,22,0.06240000000000001,1.1105999999999996,0.03119999999999999,1.6436,0.8999999999999999,0.1,0.18,0.2,0.14285714285714285,50,Dazzle,3.675045967080465,15,False,True
8787299097_13,8787299097,13,2,pick,radiant,8255888.0,9467224.0,21,Windranger,4.0400151348268665,8,0.24242424242424243,0.15625,138,Muerta,4.682693475425195,2.5100661590569953,22,0.7122999999999999,0.2877,0.9054999999999999,0.0945,0.8999999999999999,0.1,0.65,0.24242424242424243,0.15625,110,Phoenix,4.975011084994109,14,False,True
8793065730_16,8793065730,16,2,pick,radiant,8261500.0,9885310.0,69,Doom,3.415570287735767,2,0.26666666666666666,0.2222222222222222,79,Shadow Demon,4.223827639628909,2.0208310561242437,15,0.18080000000000007,0.8191999999999998,0.0840000000000001,0.9313999999999999,0.8999999999999999,0.1,0.18,0.26666666666666666,0.2222222222222222,79,Shadow Demon,3.918502715778975,13,False,True
8782527726_16,8782527726,16,2,pick,radiant,9572001.0,10108947.0,82,Meepo,4.244161566636171,4,0.2,0.0,52,Leshrac,4.4933871235876595,2.738739099050233,17,0.8568,0.1432,0.5776000000000001,0.43089999999999995,0.95,0.05,0.15,0.2,0.0,138,Muerta,3.827152721144894,13,False,True
8787185127_18,8787185127,18,3,pick,dire,8255888.0,9467224.0,29,Tidehunter,4.481387657469538,6,0.40625,0.06451612903225806,145,Kez,4.8373622546857105,2.6758550169822772,18,0.09289999999999998,1.0301,0.09900000000000003,0.9133,0.8999999999999999,0.1,0.18,0.40625,0.06451612903225806,138,Muerta,3.797898370241658,12,False,True
8782608765_18,8782608765,18,3,pick,dire,9928636.0,9895247.0,78,Brewmaster,3.615265240273823,7,0.21311475409836064,0.5,126,Void Spirit,4.488087118635476,2.225035853376286,19,0.0925,0.9568,0.6476,0.3524,0.8999999999999999,0.1,0.18,0.21311475409836064,0.5,93,Slark,3.9613704505517218,12,False,True
8781560526_24,8781560526,24,3,pick,dire,10108947.0,9338413.0,33,Enigma,2.9625060398411507,9,0.06666666666666667,0.08108108108108109,138,Muerta,3.8566556463559696,1.842053998603663,21,0.051000000000000004,1.1275,0.03120000000000001,1.1983000000000001,0.8999999999999999,0.1,0.18,0.06666666666666667,0.08108108108108109,138,Muerta,3.5407380033293143,12,False,True
8786127499_18,8786127499,18,3,pick,dire,2163.0,9247354.0,114,Monkey King,3.672054633251004,6,0.3055555555555556,0.45,135,Dawnbreaker,3.998801341859858,2.498372130442351,17,0.42510000000000003,0.6258999999999999,0.3857,0.6971,0.8999999999999999,0.1,0.65,0.3055555555555556,0.45,108,Underlord,4.165184677085192,11,False,True
8781560526_14,8781560526,14,2,pick,radiant,9338413.0,10108947.0,106,Ember Spirit,4.229413827054998,5,0.40540540540540543,0.6,100,Tusk,4.734227595535077,2.671995670446488,14,0.7122999999999999,0.2877,0.6567999999999999,0.3432,0.95,0.05,0.15,0.40540540540540543,0.6,110,Phoenix,4.412470213513856,9,False,True
8780664964_15,8780664964,15,2,pick,dire,9600141.0,9303383.0,105,Techies,3.935879109840187,7,0.1388888888888889,0.0,131,Ringmaster,5.19483887264995,2.5738516663481157,15,0.3817,0.6183,0.3386,0.6614,0.15,0.85,0.3,0.1388888888888889,0.0,131,Ringmaster,3.8666121912292515,8,False,True
8782608765_15,8782608765,15,2,pick,dire,9928636.0,9895247.0,105,Techies,3.7989963752550713,8,0.13114754098360656,0.0,83,Treant Protector,4.801952057098811,2.3841165607986334,16,0.3386,0.6614,0.44520000000000004,0.5548,0.15,0.85,0.3,0.13114754098360656,0.0,83,Treant Protector,3.7528598819398478,8,False,True
8781584788_18,8781584788,18,3,pick,radiant,9928636.0,5014799.0,29,Tidehunter,2.194073176382041,10,0.3275862068965517,0.05263157894736842,93,Slark,4.23003559128635,1.8659604609773413,18,0.0839,1.0554999999999999,0.0558,0.9463,0.8999999999999999,0.1,0.18,0.3275862068965517,0.05263157894736842,93,Slark,4.02009981787892,8,False,True
8783198427_14,8783198427,14,2,pick,dire,7119388.0,8255888.0,75,Silencer,4.24134426095299,5,0.23076923076923078,0.375,99,Bristleback,4.694091186758905,3.130001095010376,12,0.6151,0.3849,0.5461,0.4539,0.15,0.8500000000000001,0.55,0.23076923076923078,0.375,29,Tidehunter,4.225080635473223,7,False,True
