feature,importance
candidate_hero_id,24.412399204519257
candidate_enemy_synergy_games_mean,9.510549226341508
candidate_enemy_role_conflict_score,8.297593163777904
candidate_enemy_role_fit_score,8.265119779023568
candidate_vs_ally_matchup_games_mean,4.573298056072671
candidate_pos1_prob,4.279056349136395
candidate_flex_score,3.775075332784032
candidate_ban_rate,3.7529023805371584
candidate_pos3_prob,2.5308185376567227
candidate_matches_played,2.3542272818515815
enemy_pos1_filled,2.3469791319799675
candidate_pos2_prob,1.9988793072365365
enemy_core_count_soft,1.8992282137720915
candidate_pos4_prob,1.7997153974706475
candidate_winrate,1.5173296137563717
candidate_pick_rate,1.1221860768992962
candidate_core_prob,1.1021989094160523
available_hero_count,1.0855020122097263
candidate_pick_or_ban_rate,1.024244258298745
candidate_enemy_synergy_mean,0.9631592867347517
candidate_vs_ally_counter_max,0.8948481115602055
candidate_own_support_fit,0.8750876169973368
n_ally_bans_before,0.8056207966597738
candidate_support_prob,0.7896546301724379
order,0.7329027431096207
candidate_pos5_prob,0.6911013834058881
enemy_pos3_filled,0.5657043073618614
n_enemy_bans_before,0.5560267417261614
candidate_enemy_synergy_max,0.5241553455704558
enemy_pos5_filled,0.4957615596750109
candidate_enemy_support_fit,0.4530202717017084
candidate_enemy_core_fit,0.451340977663253
candidate_vs_ally_counter_mean,0.4481319296994008
enemy_pos2_filled,0.42053620761636384
ally_vs_candidate_counter_mean,0.40691912392311996
ally_support_count_soft,0.3863429101874866
candidate_own_role_fit_score,0.3662564490380134
candidate_own_core_fit,0.35582665236491823
candidate_own_role_conflict_score,0.35373824223190553
enemy_support_count_soft,0.35274407177100825
ally_core_count_soft,0.3376151567508182
ally_pos2_filled,0.33148319136710175
candidate_enemy_synergy_min,0.31986739470399234
ally_pos1_filled,0.3111184239605556
league_name,0.28617441899469065
ally_pos5_filled,0.2761664798617927
ally_pos3_filled,0.2211388978409181
n_enemy_picks_before,0.15681432945487928
candidate_vs_ally_counter_min,0.1322694953140104
enemy_pos4_filled,0.06086220890296201
ally_pos4_filled,0.03030841093738723
patch,0.0
acting_side,0.0
action_type,0.0
n_ally_picks_before,0.0
draft_phase,0.0
own_best_player_candidate_role_fit,0.0
own_mean_player_candidate_role_fit,0.0
opponent_best_player_candidate_role_fit,0.0
opponent_mean_player_candidate_role_fit,0.0
