rank,feature,importance
1,candidate_hero_id,0.08402136828297746
2,opponent_team_id,0.03617125444835463
3,acting_team_id,0.01690059799992022
4,candidate_enemy_synergy_games_mean,0.010778403328073227
5,opponent_player_hero_games_patch_max,0.008017855017776798
6,opponent_player_hero_avg_kda_patch_max,0.005796142846645869
7,candidate_matches_played,0.004041049157844756
8,opponent_player_hero_games_alltime_max,0.003866388588761982
9,opponent_player_hero_winrate_patch_max,0.003077732955311533
10,opponent_player_hero_avg_gold_per_min_patch_max,0.0029279704741035917
11,order,0.0028820397711406542
12,candidate_ban_rate,0.0025153383603823687
13,opponent_player_hero_winrate_alltime_mean,0.0023545624016712563
14,opponent_player_hero_avg_xp_per_min_patch_max,0.002144020028042759
15,candidate_pick_rate,0.001970319282467825
16,own_player_hero_games_alltime_mean,0.0018557299747998801
17,candidate_vs_ally_counter_max,0.0016223819838487863
18,opponent_player_hero_avg_tower_damage_alltime_max,0.0015796346016083151
19,own_player_hero_avg_gold_per_min_patch_max,0.0015773108755289256
20,opponent_player_hero_games_alltime_mean,0.0014640216737792366
21,available_hero_count,0.0014046580558025323
22,opponent_player_hero_avg_gold_per_min_alltime_max,0.0013463664069385262
23,own_player_hero_avg_gold_per_min_alltime_max,0.0013405759749120505
24,opponent_player_hero_avg_xp_per_min_alltime_max,0.0013050650846367362
25,candidate_winrate,0.0012625501255575378
26,own_player_hero_winrate_alltime_mean,0.0012582252402728034
27,n_enemy_bans_before,0.0011943961043383577
28,candidate_enemy_synergy_max,0.0011840311403495396
29,n_ally_bans_before,0.0011732795919105476
30,candidate_pick_or_ban_rate,0.0010635267428701911
31,candidate_enemy_synergy_min,0.001024380665219926
32,candidate_enemy_synergy_mean,0.0009710972951513241
33,candidate_vs_ally_matchup_games_mean,0.0009630759748671114
34,opponent_player_hero_avg_hero_damage_alltime_max,0.000940341597412353
35,own_player_hero_avg_tower_damage_alltime_max,0.0008558622719649911
36,opponent_player_hero_avg_kda_alltime_max,0.0008445120165416764
37,candidate_vs_ally_counter_min,0.0008005438112885233
38,own_player_hero_avg_kda_alltime_max,0.000721657878439752
39,own_player_hero_avg_hero_damage_alltime_max,0.0007098506454605302
40,own_player_hero_avg_kda_patch_max,0.0006950635905233482
41,opponent_roster_player_avg_gold_per_min_alltime_mean,0.0005632729918237933
42,opponent_roster_player_winrate_alltime_mean,0.0005559536415346011
43,own_player_hero_avg_xp_per_min_alltime_max,0.0005125894952592303
44,own_player_hero_games_alltime_max,0.0004874227704866896
45,opponent_roster_player_avg_xp_per_min_alltime_mean,0.0004831997109446817
46,ally_vs_candidate_counter_mean,0.0004443043875233532
47,own_roster_player_avg_gold_per_min_alltime_mean,0.00043303683964057704
48,own_roster_player_matches_alltime_mean,0.000423053308294008
49,opponent_roster_player_avg_kda_patch_mean,0.0004058978508645339
50,n_ally_picks_before,0.0003722103286780132
51,own_player_hero_winrate_alltime_max,0.0003606615863657736
52,opponent_roster_player_matches_alltime_mean,0.0003577238880967948
53,own_player_hero_avg_xp_per_min_patch_max,0.00029892001961717707
54,opponent_roster_player_matches_patch_mean,0.0002894165674330873
55,own_roster_player_matches_patch_mean,0.00022154056380663256
56,opponent_roster_player_avg_kda_alltime_mean,0.00018764020791833813
57,candidate_vs_ally_counter_mean,0.0001801429038519875
58,own_roster_player_avg_kda_alltime_mean,0.0001776489208600296
59,own_roster_player_winrate_patch_mean,0.00016238904390775133
60,opponent_player_hero_winrate_alltime_max,0.00015188031984786354
61,own_roster_player_avg_kda_patch_mean,0.00012548859066768836
62,opponent_roster_player_winrate_patch_mean,9.256247753836044e-05
63,own_roster_player_avg_xp_per_min_alltime_mean,8.976185584136376e-05
64,draft_phase,8.197750368954537e-05
65,league_name,7.989614860826055e-05
66,own_player_hero_games_patch_max,7.46394661214067e-05
67,own_roster_player_winrate_alltime_mean,3.0338191554346583e-05
68,action_type,0.0
69,acting_side,0.0
70,patch,0.0
71,n_enemy_picks_before,0.0
72,own_player_hero_winrate_patch_max,0.0
