feature,importance
candidate_enemy_synergy_games_mean,19.136385396492994
candidate_hero_id,18.118931420940086
opponent_team_candidate_contested_rate_patch,12.14223925865522
candidate_vs_ally_matchup_games_mean,2.4969089690919843
own_team_candidate_contested_rate_patch,2.3828282606686044
available_hero_count,2.2848237227288113
candidate_ban_rate,2.245467319553331
acting_team_id,2.1840908444629745
order,1.9942132145722609
opponent_player_hero_avg_kda_patch_max,1.9163999670364222
opponent_team_id,1.7113918458366884
opponent_player_hero_winrate_patch_max,1.6839287095246795
opponent_player_hero_avg_kda_alltime_max,1.6462295492707144
candidate_matches_played,1.595469269099685
opponent_team_candidate_avg_pick_order_patch,1.38160452547018
opponent_team_candidate_ban_against_rate_patch,1.3710160651762993
opponent_player_hero_avg_xp_per_min_alltime_max,1.2861334324562397
own_team_candidate_pick_rate_alltime,1.2252741483783378
draft_phase,1.0949828571374245
own_player_hero_avg_gold_per_min_alltime_max,1.088092393992427
candidate_vs_ally_counter_max,0.9522757020901161
opponent_player_hero_avg_gold_per_min_patch_max,0.9513625618452384
n_ally_picks_before,0.9178908508660043
own_team_candidate_avg_pick_order_patch,0.9080313634562424
opponent_player_hero_avg_tower_damage_alltime_max,0.8954183126568187
candidate_pick_rate,0.8002145488069788
own_player_hero_avg_gold_per_min_patch_max,0.7968569061029246
opponent_team_candidate_winrate_patch,0.7882542410432631
n_ally_bans_before,0.7784403973197594
n_enemy_bans_before,0.7768347945414602
ally_vs_candidate_counter_mean,0.7493194755731911
opponent_player_hero_winrate_alltime_mean,0.6590699364945853
candidate_enemy_synergy_max,0.6462810542751488
own_team_candidate_ban_against_rate_patch,0.6419723090356257
opponent_team_candidate_ban_against_rate_alltime,0.6356083083056671
opponent_player_hero_games_patch_max,0.6242356461593255
candidate_pick_or_ban_rate,0.6198022195047876
opponent_player_hero_avg_xp_per_min_patch_max,0.596244373644311
opponent_team_candidate_early_pick_rate_alltime,0.42380266268903816
opponent_team_candidate_contested_rate_alltime,0.39666747868049607
own_player_hero_avg_kda_patch_max,0.3885785616372823
opponent_team_candidate_contested_count_patch,0.37197452494013183
opponent_team_candidate_matches_patch,0.36042563385660087
opponent_team_candidate_early_pick_rate_patch,0.33443392413898665
candidate_enemy_synergy_min,0.33286286765505
opponent_roster_player_avg_gold_per_min_alltime_mean,0.3298585446886408
opponent_player_hero_games_alltime_mean,0.32513354637435193
own_player_hero_avg_xp_per_min_alltime_max,0.28883462358512385
own_player_hero_winrate_alltime_max,0.27971844670324003
opponent_team_candidate_ban_against_count_alltime,0.2608522258734784
candidate_enemy_synergy_mean,0.25279584337593775
opponent_team_candidate_avg_pick_order_alltime,0.22974176678554573
own_player_hero_avg_xp_per_min_patch_max,0.22604446774075057
own_team_candidate_contested_rate_alltime,0.2228095824432428
own_team_candidate_avg_pick_order_alltime,0.2072120549165206
own_player_hero_avg_kda_alltime_max,0.18902332946912045
opponent_team_candidate_ban_against_count_patch,0.16189845515873588
opponent_roster_player_matches_patch_mean,0.16058455188770096
own_team_candidate_contested_count_alltime,0.14774339243307194
opponent_team_candidate_pick_rate_patch,0.1472811368554389
own_team_candidate_ban_against_rate_alltime,0.1383113585469729
opponent_team_candidate_winrate_alltime,0.13814784377035377
own_team_candidate_pick_count_patch,0.13630742785767713
own_roster_player_avg_xp_per_min_alltime_mean,0.13300011864473305
own_team_candidate_ban_against_count_patch,0.12442135999445031
own_team_candidate_early_pick_rate_alltime,0.11296900159931003
own_player_hero_winrate_alltime_mean,0.08534086925669149
own_player_hero_avg_tower_damage_alltime_max,0.08408818765410983
opponent_player_hero_games_alltime_max,0.0831551569669302
own_roster_player_winrate_alltime_mean,0.07338856153059976
opponent_team_candidate_contested_count_alltime,0.045159815710920856
own_team_candidate_matches_alltime,0.038694292827318705
own_roster_player_matches_patch_mean,0.026832749407679244
opponent_roster_player_avg_kda_patch_mean,0.01738146207694054
action_type,0.0
acting_side,0.0
league_name,0.0
patch,0.0
n_enemy_picks_before,0.0
candidate_winrate,0.0
own_player_hero_winrate_patch_max,0.0
own_player_hero_games_patch_max,0.0
opponent_player_hero_avg_hero_damage_alltime_max,0.0
opponent_player_hero_avg_gold_per_min_alltime_max,0.0
own_player_hero_avg_hero_damage_alltime_max,0.0
opponent_player_hero_winrate_alltime_max,0.0
own_player_hero_games_alltime_mean,0.0
own_player_hero_games_alltime_max,0.0
candidate_vs_ally_counter_mean,0.0
candidate_vs_ally_counter_min,0.0
own_roster_player_avg_gold_per_min_alltime_mean,0.0
own_roster_player_matches_alltime_mean,0.0
opponent_roster_player_winrate_alltime_mean,0.0
opponent_roster_player_matches_alltime_mean,0.0
own_roster_player_avg_kda_alltime_mean,0.0
opponent_roster_player_avg_kda_alltime_mean,0.0
own_team_candidate_ban_against_count_alltime,0.0
own_team_candidate_winrate_alltime,0.0
own_team_candidate_pick_count_alltime,0.0
opponent_roster_player_winrate_patch_mean,0.0
own_roster_player_winrate_patch_mean,0.0
opponent_roster_player_avg_xp_per_min_alltime_mean,0.0
own_roster_player_avg_kda_patch_mean,0.0
own_team_candidate_early_pick_rate_patch,0.0
opponent_team_candidate_pick_rate_alltime,0.0
opponent_team_candidate_pick_count_alltime,0.0
opponent_team_candidate_matches_alltime,0.0
own_team_candidate_contested_count_patch,0.0
own_team_candidate_matches_patch,0.0
own_team_candidate_pick_rate_patch,0.0
own_team_candidate_winrate_patch,0.0
opponent_team_candidate_pick_count_patch,0.0
