feature,importance
candidate_hero_id,10.949565630051984
candidate_own_role_fit_score,8.433918876505365
candidate_enemy_core_fit,5.228522139448338
candidate_ally_synergy_games_mean,5.051029776511987
candidate_ban_rate,4.3140480957196425
candidate_own_role_conflict_score,3.6819530694342295
candidate_vs_enemy_matchup_games_mean,3.4895829754415106
candidate_pos1_prob,3.1805794979926096
candidate_winrate,2.9178479091892253
candidate_ally_synergy_min,2.5774291384581978
ally_core_count_soft,2.3599978987484422
candidate_matches_played,2.320735703436522
candidate_flex_score,2.3038611343835522
ally_support_count_soft,2.0864417243792523
candidate_pos3_prob,1.9628810218065402
enemy_vs_candidate_counter_mean,1.9319722264473356
candidate_vs_enemy_counter_min,1.8635913321974014
ally_pos1_filled,1.8452812103901672
candidate_enemy_support_fit,1.8213979906753077
candidate_enemy_role_fit_score,1.810216534146603
enemy_pos1_filled,1.6735901383361964
candidate_ally_synergy_max,1.6439778699446497
candidate_enemy_role_conflict_score,1.6187918747679844
candidate_pos2_prob,1.5094610670828892
candidate_vs_enemy_counter_max,1.504762776491791
enemy_pos2_filled,1.467475061574533
candidate_pick_or_ban_rate,1.4387027634012217
candidate_pos5_prob,1.3279164942237658
candidate_own_core_fit,1.2949983587668892
candidate_pos4_prob,1.223210871820448
enemy_pos5_filled,1.2082488081264169
candidate_vs_enemy_counter_mean,1.1885159614575245
candidate_pick_rate,1.1661974906909438
candidate_ally_synergy_mean,1.0560982942704322
ally_pos2_filled,0.9789418371463589
enemy_support_count_soft,0.9468224530860886
enemy_pos4_filled,0.8965948118767835
candidate_core_prob,0.8470895607987706
enemy_pos3_filled,0.8267948101793091
candidate_support_prob,0.69667411454711
ally_pos3_filled,0.6805114730266307
order,0.6515050209674189
available_hero_count,0.646578096640871
enemy_core_count_soft,0.6461525891464874
ally_pos4_filled,0.5743597759649322
ally_pos5_filled,0.5582119291846179
n_enemy_picks_before,0.48129788519190486
candidate_own_support_fit,0.39812133714027576
league_name,0.30625424077759666
acting_side,0.1472205246228851
n_enemy_bans_before,0.09894982878096084
draft_phase,0.08222248769970074
n_ally_bans_before,0.056989888564753816
n_ally_picks_before,0.025905618336645824
action_type,0.0
patch,0.0
own_best_player_candidate_role_fit,0.0
own_mean_player_candidate_role_fit,0.0
opponent_best_player_candidate_role_fit,0.0
opponent_mean_player_candidate_role_fit,0.0
