action,comparison,metric,left,right,diff
pick,base_vs_interactions,top1,0.08,0.09692307692307692,0.016923076923076916
pick,base_vs_interactions,top3,0.21076923076923076,0.25384615384615383,0.04307692307692307
pick,base_vs_interactions,top5,0.3153846153846154,0.36153846153846153,0.046153846153846156
pick,base_vs_interactions,top10,0.4676923076923077,0.5015384615384615,0.033846153846153804
pick,base_vs_interactions,mean_rank,21.026153846153846,19.567692307692308,-1.4584615384615383
pick,base_vs_interactions,mrr,0.20159052560315593,0.22772118952125092,0.026130663918094987
pick,interactions_vs_interactions_role,top1,0.09692307692307692,0.11692307692307692,0.020000000000000004
pick,interactions_vs_interactions_role,top3,0.25384615384615383,0.29384615384615387,0.040000000000000036
pick,interactions_vs_interactions_role,top5,0.36153846153846153,0.40307692307692305,0.041538461538461524
pick,interactions_vs_interactions_role,top10,0.5015384615384615,0.56,0.058461538461538565
pick,interactions_vs_interactions_role,mean_rank,19.567692307692308,15.872307692307693,-3.695384615384615
pick,interactions_vs_interactions_role,mrr,0.22772118952125092,0.2585029971326429,0.030781807611391987
pick,interactions_vs_players_team,top1,0.09692307692307692,0.13076923076923078,0.03384615384615386
pick,interactions_vs_players_team,top3,0.25384615384615383,0.3153846153846154,0.06153846153846154
pick,interactions_vs_players_team,top5,0.36153846153846153,0.42615384615384616,0.06461538461538463
pick,interactions_vs_players_team,top10,0.5015384615384615,0.6092307692307692,0.10769230769230775
pick,interactions_vs_players_team,mean_rank,19.567692307692308,15.087692307692308,-4.48
pick,interactions_vs_players_team,mrr,0.22772118952125092,0.2771149622245713,0.049393772703320404
pick,players_team_vs_players_team_role,top1,0.13076923076923078,0.16307692307692306,0.03230769230769229
pick,players_team_vs_players_team_role,top3,0.3153846153846154,0.3723076923076923,0.05692307692307691
pick,players_team_vs_players_team_role,top5,0.42615384615384616,0.48615384615384616,0.06
pick,players_team_vs_players_team_role,top10,0.6092307692307692,0.6615384615384615,0.05230769230769228
pick,players_team_vs_players_team_role,mean_rank,15.087692307692308,12.466153846153846,-2.621538461538462
pick,players_team_vs_players_team_role,mrr,0.2771149622245713,0.31329017585659386,0.03617521363202253
ban,base_vs_interactions,top1,0.12527472527472527,0.13626373626373625,0.010989010989010978
ban,base_vs_interactions,top3,0.27912087912087913,0.2802197802197802,0.001098901098901095
ban,base_vs_interactions,top5,0.35934065934065934,0.378021978021978,0.01868131868131867
ban,base_vs_interactions,top10,0.5164835164835165,0.5593406593406594,0.042857142857142816
ban,base_vs_interactions,mean_rank,18.22967032967033,17.18901098901099,-1.0406593406593423
ban,base_vs_interactions,mrr,0.2518637344569045,0.26425176536841694,0.012388030911512415
ban,interactions_vs_interactions_role,top1,0.13626373626373625,0.12087912087912088,-0.015384615384615372
ban,interactions_vs_interactions_role,top3,0.2802197802197802,0.24285714285714285,-0.03736263736263737
ban,interactions_vs_interactions_role,top5,0.378021978021978,0.3505494505494505,-0.027472527472527486
ban,interactions_vs_interactions_role,top10,0.5593406593406594,0.554945054945055,-0.00439560439560438
ban,interactions_vs_interactions_role,mean_rank,17.18901098901099,16.44065934065934,-0.7483516483516475
ban,interactions_vs_interactions_role,mrr,0.26425176536841694,0.24318385130474954,-0.021067914063667398
ban,interactions_vs_players_team,top1,0.13626373626373625,0.17802197802197803,0.041758241758241776
ban,interactions_vs_players_team,top3,0.2802197802197802,0.34285714285714286,0.06263736263736264
ban,interactions_vs_players_team,top5,0.378021978021978,0.4582417582417582,0.08021978021978021
ban,interactions_vs_players_team,top10,0.5593406593406594,0.6725274725274726,0.11318681318681323
ban,interactions_vs_players_team,mean_rank,17.18901098901099,11.305494505494506,-5.883516483516482
ban,interactions_vs_players_team,mrr,0.26425176536841694,0.3220769082895518,0.05782514292113489
ban,players_team_vs_players_team_role,top1,0.17802197802197803,0.19230769230769232,0.01428571428571429
ban,players_team_vs_players_team_role,top3,0.34285714285714286,0.4,0.05714285714285716
ban,players_team_vs_players_team_role,top5,0.4582417582417582,0.5296703296703297,0.07142857142857145
ban,players_team_vs_players_team_role,top10,0.6725274725274726,0.7274725274725274,0.05494505494505486
ban,players_team_vs_players_team_role,mean_rank,11.305494505494506,9.454945054945055,-1.850549450549451
ban,players_team_vs_players_team_role,mrr,0.3220769082895518,0.3548215346180645,0.03274462632851266
